county,Year,median_tb_Result
Sacramento,2010,6.505000000000001
Sacramento,2011,3.54
Sacramento,2012,3.4299999999999997
Sacramento,2013,2.54
Sacramento,2014,3.61
Sacramento,2015,16.0
Sacramento,2016,8.4
San Benito,2010,38.1
San Benito,2011,27.4
San Benito,2012,52.2
San Benito,2013,34.15
San Benito,2014,17.3
San Benito,2015,18.65
San Benito,2016,14.75
San Benito,2017,29.799999999999997
San Bernardino,2010,3.88
San Bernardino,2011,3.67
San Bernardino,2012,4.02
San Bernardino,2013,5.085
San Bernardino,2014,3.0
San Bernardino,2015,2.83
San Bernardino,2016,0.93
San Bernardino,2017,2.1
San Diego,2010,2.41
San Diego,2011,2.57
San Diego,2012,3.0
San Diego,2013,4.6
San Diego,2014,3.05
San Diego,2015,1.9
San Diego,2016,2.17
San Diego,2017,3.27
San Joaquin,2010,15.0
San Joaquin,2011,10.3
San Joaquin,2012,12.0
San Joaquin,2013,8.05
San Joaquin,2014,15.0
San Joaquin,2015,22.5
San Joaquin,2016,23.5
San Luis Obispo,2010,1.475
San Luis Obispo,2011,1.57
San Luis Obispo,2012,2.01
San Luis Obispo,2013,2.2300000000000004
San Luis Obispo,2014,1.98
San Luis Obispo,2015,1.78
San Luis Obispo,2016,16.05
San Luis Obispo,2017,16.200000000000003
San Mateo,2010,3.6550000000000002
San Mateo,2011,3.8
San Mateo,2012,8.385
San Mateo,2013,1.0
San Mateo,2014,0.7
San Mateo,2015,1.075
San Mateo,2016,1.85
San Mateo,2017,5.5
Santa Barbara,2010,3.8
Santa Barbara,2011,2.49
Santa Barbara,2012,3.4
Santa Barbara,2013,4.78
Santa Barbara,2014,4.75
Santa Barbara,2015,5.595
Santa Barbara,2016,8.23
Santa Barbara,2017,5.675000000000001
Santa Barbara,2018,9.24
Santa Clara,2010,10.25
Santa Clara,2011,22.4
Santa Clara,2012,7.545
Santa Clara,2013,3.91
Santa Clara,2014,8.28
Santa Clara,2015,4.21
Santa Clara,2016,6.08
Santa Clara,2017,34.4
Santa Cruz,2010,18.75
Santa Cruz,2011,8.1
Santa Cruz,2012,3.025
Santa Cruz,2013,2.6
Santa Cruz,2014,2.27
Santa Cruz,2015,1.97
Santa Cruz,2016,16.15
Santa Cruz,2017,16.6
Shasta,2010,3.505
Shasta,2011,2.875
Shasta,2012,2.8
Shasta,2013,2.22
Shasta,2014,1.9249999999999998
Shasta,2015,4.9
Sierra,2010,1.0
Sierra,2011,2.6550000000000002
Sierra,2012,2.14
Sierra,2013,0.35
Sierra,2014,0.51
Sierra,2015,1.02
Siskiyou,2010,0.155
Siskiyou,2011,3.3
Siskiyou,2012,1.7
Siskiyou,2013,2.0
Siskiyou,2014,2.6
Siskiyou,2015,2.9
Siskiyou,2016,2.55
Solano,2010,22.0
Solano,2011,16.0
Solano,2012,16.0
Solano,2013,12.0
Solano,2014,12.5
Solano,2015,22.0
Sonoma,2010,1.7
Sonoma,2011,4.8
Sonoma,2012,2.8049999999999997
Sonoma,2013,2.8
Sonoma,2014,4.875
Sonoma,2015,5.0
Stanislaus,2010,19.0
Stanislaus,2011,16.0
Stanislaus,2012,14.2
Stanislaus,2013,16.0
Stanislaus,2014,17.0
Stanislaus,2015,14.850000000000001
Stanislaus,2016,23.6
Sutter,2010,11.0
Sutter,2011,11.4
Sutter,2012,10.1
Sutter,2013,8.8
Sutter,2014,8.3
Sutter,2015,19.75
Sutter,2016,60.1
Tehama,2010,3.835
Tehama,2011,2.0300000000000002
Tehama,2012,1.6
Tehama,2013,1.4049999999999998
Tehama,2014,1.975
Tehama,2015,0.98
Trinity,2010,0.52
Trinity,2011,0.6
Trinity,2012,1.08
Trinity,2013,1.2
Trinity,2014,0.045
Trinity,2015,0.22499999999999998
Tulare,2010,5.61
Tulare,2011,4.984999999999999
Tulare,2012,5.66
Tulare,2013,0.62
Tulare,2014,0.49
Tulare,2015,0.415
Tuolumne,2010,1.11
Tuolumne,2011,0.7
Tuolumne,2012,1.15
Tuolumne,2013,1.51
Tuolumne,2014,2.22
Tuolumne,2015,0.685
Ventura,2010,0.73
Ventura,2011,0.99
Ventura,2012,1.28
Ventura,2013,1.46
Ventura,2014,2.32
Ventura,2015,1.39
Ventura,2016,2.62
Ventura,2017,1.18
Yolo,2010,33.0
Yolo,2011,22.7
Yolo,2012,25.5
Yolo,2013,18.65
Yolo,2014,18.8
Yolo,2015,25.0
Yolo,2016,34.315
Yolo,2017,34.5
Yuba,2010,9.6
Yuba,2011,5.16
Yuba,2012,12.0
Yuba,2013,10.0
Yuba,2014,4.18
Yuba,2015,6.1
