county,Year,median_ph_Result
Plumas,2013,7.779999999999999
Plumas,2014,7.7
Plumas,2015,8.3
Riverside,2010,8.375
Riverside,2011,8.0
Riverside,2012,8.065000000000001
Riverside,2013,7.86
Riverside,2014,8.175
Riverside,2015,8.31
Riverside,2016,8.25
Riverside,2017,8.06
Sacramento,2010,7.46
Sacramento,2011,7.575
Sacramento,2012,7.54
Sacramento,2013,7.54
Sacramento,2014,7.39
Sacramento,2015,7.59
Sacramento,2016,7.54
Sacramento,2017,7.244999999999999
San Benito,2010,8.1
San Benito,2011,8.12
San Benito,2012,7.984999999999999
San Benito,2013,7.975
San Benito,2014,7.87
San Benito,2015,8.18
San Benito,2016,7.734999999999999
San Benito,2017,8.024999999999999
San Bernardino,2010,8.1
San Bernardino,2011,7.8
San Bernardino,2012,8.14
San Bernardino,2013,7.99
San Bernardino,2014,8.17
San Bernardino,2015,8.0
San Bernardino,2016,8.3
San Bernardino,2017,8.285
San Diego,2010,7.89
San Diego,2011,7.93
San Diego,2012,7.933
San Diego,2013,7.9
San Diego,2014,7.67
San Diego,2015,7.9350000000000005
San Diego,2016,8.0
San Diego,2017,7.73
San Joaquin,2010,7.505
San Joaquin,2011,7.44
San Joaquin,2012,7.7
San Joaquin,2013,7.470000000000001
San Joaquin,2014,7.22
San Joaquin,2015,7.355
San Joaquin,2016,7.45
San Luis Obispo,2010,8.03
San Luis Obispo,2011,8.22
San Luis Obispo,2012,7.97
San Luis Obispo,2013,8.0
San Luis Obispo,2014,8.09
San Luis Obispo,2015,8.13
San Luis Obispo,2016,8.0
San Luis Obispo,2017,8.04
San Mateo,2010,7.775
San Mateo,2011,7.54
San Mateo,2012,7.53
San Mateo,2013,7.8
San Mateo,2014,7.84
San Mateo,2015,7.3
San Mateo,2016,7.99
San Mateo,2017,7.32
Santa Barbara,2010,7.89
Santa Barbara,2011,8.03
Santa Barbara,2012,7.9
Santa Barbara,2013,7.85
Santa Barbara,2014,7.74
Santa Barbara,2015,7.88
Santa Barbara,2016,7.98
Santa Barbara,2017,8.015
Santa Barbara,2018,7.82
Santa Clara,2010,8.06
Santa Clara,2011,7.92
Santa Clara,2012,7.79
Santa Clara,2013,7.734999999999999
Santa Clara,2014,7.7
Santa Clara,2015,7.465
Santa Clara,2016,7.75
Santa Clara,2017,7.845000000000001
Santa Cruz,2010,7.92
Santa Cruz,2011,8.06
Santa Cruz,2012,7.7
Santa Cruz,2013,7.8
Santa Cruz,2014,7.57
Santa Cruz,2015,7.85
Santa Cruz,2016,7.975
Santa Cruz,2017,8.06
Shasta,2010,7.75
Shasta,2011,8.0
Shasta,2012,7.88
Shasta,2013,7.9
Shasta,2014,8.0
Shasta,2015,7.87
Shasta,2016,7.04
Sierra,2010,6.75
Sierra,2011,7.45
Sierra,2012,6.8
Sierra,2013,8.0
Sierra,2014,8.13
Sierra,2015,8.1
Siskiyou,2010,8.0
Siskiyou,2011,8.085
Siskiyou,2012,8.19
Siskiyou,2013,8.145
